name,parent_name,currency,is_active,is_countable,is_visible,icon_name,color_hex
Cash,Asset,CNY,true,true,true,cash,#4CAF50
Bank Card,Asset,CNY,true,true,true,credit_card,#2196F3
Alipay,Asset,CNY,true,true,true,account_balance_wallet,#00A0E9
WeChat Pay,Asset,CNY,true,true,true,account_balance,#09BB07
Investment,Asset,CNY,true,true,true,trending_up,#FF9800
Credit Card,Liability,CNY,true,true,true,credit_card,#F44336
Salary,Revenue,CNY,true,true,true,work,#FFC107
Bonus,Revenue,CNY,true,true,true,card_giftcard,#FFEB3B
Investment Income,Revenue,CNY,true,true,true,attach_money,#4CAF50
Food & Dining,Expense,CNY,true,true,true,restaurant,#FF5722
Breakfast,Food & Dining,CNY,true,true,true,free_breakfast,#FF8A80
Lunch,Food & Dining,CNY,true,true,true,lunch_dining,#FF5252
Dinner,Food & Dining,CNY,true,true,true,dinner_dining,#D32F2F
Snacks & Drinks,Food & Dining,CNY,true,true,true,local_cafe,#FFAB91
Transport,Expense,CNY,true,true,true,directions_car,#9C27B0
Public Transit,Transport,CNY,true,true,true,directions_bus,#CE93D8
Taxi & Ride,Transport,CNY,true,true,true,local_taxi,#BA68C8
Gas,Transport,CNY,true,true,true,local_gas_station,#AB47BC
Shopping,Expense,CNY,true,true,true,shopping_cart,#E91E63
Clothing,Shopping,CNY,true,true,true,checkroom,#F48FB1
Electronics,Shopping,CNY,true,true,true,devices,#EC407A
Daily Necessities,Shopping,CNY,true,true,true,shopping_basket,#C2185B
Entertainment,Expense,CNY,true,true,true,movie,#3F51B5
Movies,Entertainment,CNY,true,true,true,theaters,#9FA8DA
Games,Entertainment,CNY,true,true,true,sports_esports,#7986CB
Books,Entertainment,CNY,true,true,true,menu_book,#5C6BC0
Housing,Expense,CNY,true,true,true,home,#00BCD4
Rent,Housing,CNY,true,true,true,apartment,#80DEEA
Utilities,Housing,CNY,true,true,true,water_drop,#4DD0E1
Internet,Housing,CNY,true,true,true,wifi,#26C6DA
Healthcare,Expense,CNY,true,true,true,medical_services,#009688
Medical,Healthcare,CNY,true,true,true,local_hospital,#80CBC4
Medicine,Healthcare,CNY,true,true,true,medication,#4DB6AC
Fitness,Healthcare,CNY,true,true,true,fitness_center,#26A69A
Education,Expense,CNY,true,true,true,school,#FF9800
Tuition,Education,CNY,true,true,true,account_balance,#FFCC80
Books & Supplies,Education,CNY,true,true,true,auto_stories,#FFB74D
Courses,Education,CNY,true,true,true,class,#FFA726
Others,Expense,CNY,true,true,true,more_horiz,#9E9E9E
Gifts,Others,CNY,true,true,true,card_giftcard,#BDBDBD
Charity,Others,CNY,true,true,true,volunteer_activism,#757575
